ID,latitude,longitude,address,state,town,pinno,verified
10485,19.0362539,72.9460282,dhobhighatvn purav rd trombay mumbai 400088,maharashtra,mumbai,400088,Y
10493,19.0896804,72.9004318,parsivadi chirag nagar ghatkoparw 400086,maharashtra,mumbai,400086,Y
10495,19.0885165,72.9096769,shop no34tps3rd1135 khodadad apt jp road7th lane ghatkopar 400086,maharashtra,mumbai,400086,Y
10496,19.0632128,72.8823966,sg barve marg nehru nagar kurla 400024,maharashtra,mumbai,400024,Y
10497,19.0417396,72.8936204,shop no 1 bldg no 1 opp  canera bank chembur  400074,maharashtra,mumbai,400074,Y
10501,18.9752935,72.8334976,shop no 2 yusuf chambers dr baba saheb ambedkar rd opp gloria church byculla e 400027,maharashtra,mumbai,400027,Y
10513,19.0553327,72.8885571,swastik chember   400071,maharashtra,mumbai,400071,Y
10514,19.0659644,72.8950516,tilak nagar chembur  400071,maharashtra,mumbai,400071,Y
10515,19.0835303,72.9122751,shubham avenue  shop no 7 pant nagar  bhaji market  ghatkopare 400077,maharashtra,mumbai,400077,Y
10526,19.0946767,72.896709,asalfa bhaji mkt nrmandir  400072,maharashtra,mumbai,400072,Y
10527,19.0374986,72.950237,cheeta camp dsector fline  400088,maharashtra,mumbai,400088,Y
10529,19.1034955,72.886225,kurla andheri road sakinaka junction sakinaka 400072,maharashtra,mumbai,400072,Y
10536,19.1003017,72.9181796,besides r city mall lal bahadur shastri marg ghatkopar west mumbai 400086,maharashtra,mumbai,400086,Y
10538,19.1011129,72.9118078,wing d223 amrut nagar rd best colony indira nagar ghatkopar west 400086,maharashtra,mumbai,400086,Y
10542,19.0460007,72.9098248,22 mumbai hwy mbpt colony best colony govandi east mumbai 400085,maharashtra,mumbai,400085,Y
10543,19.0772067,72.9010657,maheshwar nagar sindhu wadi ghatkopar east mumbai maharashtra 400077,maharashtra,mumbai,400077,Y
10549,19.0678252,72.8974836,wingb tilak dham housing soc sainath mandir chowk chembur tilak nagar chembur mumbai 400089,maharashtra,mumbai,400089,Y
10550,19.0659591,72.895256,five star building no43 shop no2 2 phase 1 kurla mumbai 400089,maharashtra,mumbai,400089,Y
10551,19.052959,72.8746699,vnpurav marg chunabhatti chunabhatti sion mumbai 400022,maharashtra,mumbai,400022,Y
10555,19.1116744,72.927909,shop no05 kismat building opp railway station vikhroli v mumbai 400083,maharashtra,mumbai,400083,Y
10560,19.0372331,72.9464421,ksector bline opphindusthan bank cheeta camp 400088,maharashtra,mumbai,400088,Y
10561,19.0378942,72.9499697,d sector trombay   400088,maharashtra,mumbai,400088,Y
10564,19.1135384,72.8976776,shop no 89 optionz shopping  plaza nahars amrit shakti marg chandivali powai 400072,maharashtra,mumbai,400072,Y
10568,19.0684941796869,72.8974701862999,tilak nagar chembure   400043,maharashtra,mumbai,400043,Y
10569,19.0695325,72.8950824,shop no 4 building no 74  riddhi siddhi apartments chembur west tilak nagar che 400089,maharashtra,mumbai,400089,Y
10570,19.0333892,72.8959881,shop no 9 hill view bldg opp shivsena office vashi naka  400051,maharashtra,mumbai,400051,Y
10573,19.0947798,72.8965076,asalpha village bhaji mkt ghatkoparw  400072,maharashtra,mumbai,400072,Y
10580,19.08746,72.9045457,11 shiv plaza gopal lane  larani lane ghatkopar mumbai suburban 400086,maharashtra,mumbai,400086,Y
10581,19.0849214,72.9098756,jethabhai road raigad chowk ghatkopare  400089,maharashtra,mumbai,400089,Y
10586,19.0509692,72.9326776,makhurd colony mankurdw mumbai 400043,maharashtra,mumbai,400043,Y
10588,19.0543524,72.8916332,stroad chembur naka 10 vikas bldg sion trombay rd swastik park chembur 400071,maharashtra,mumbai,400071,Y
10589,19.0496493,72.938013,115 28 ajinkya chawl maharashtra nagar mankhurd e  400088,maharashtra,mumbai,400088,Y
10590,19.0490786,72.9062205,sabari samriddhi ghatla  junction sion  trombay rd opposite union park chembur 400071,maharashtra,mumbai,400071,Y
10591,19.1064021,72.8897353,1 nair wadi saki naka east mumbai 400072,maharashtra,mumbai,400072,Y
10592,19.078165,72.8801933,c s t 350 shop no 1 the palace new mill road kurla mumbai suburban 400070,maharashtra,mumbai,400070,Y
10595,19.1005777,72.9183227,lbs marg nrrcity mall ghatkoparw  400086,maharashtra,mumbai,400086,Y
10596,19.0901205,72.9163529,no13  sai siddhi tower laxmi nagar ghatkopar e  400075,maharashtra,mumbai,400075,Y
